Asin,Title,Price,Sold by,Review Count,Rating,Date
B08HJ2W4HX,"Microsoft Surface Laptop Go Ultra-Thin 12.4 Touchscreen Laptop (Platinum) - Intel 10th Gen Quad Core i5, 8GB RAM, 128GB SSD, Windows 10 Home in S Mode, 2020 Edition",729.99,Toy Monsterz,225,4.4,1 Oct. 2020
B0968QCPLQ,"HP ENVY x360 15.6 2-in-1 Laptop PC 15-es0008sa, Touch Screen, Intel i5, 8GB RAM, 512GB SSD, Windows 11, FHD - Silver",899.99,Amazon,27,4.8,31-May-21
B09M2LFH9G,"New 11 Touch Screen Lenovo Quad Laptop, 4GB RAM, SSD, HD Graphics, Win 11 Pro, Office 2021 Pro Plus, Very Long Battery Life",288.88,TecBuyer,36,4.3,9 Nov. 2021
B08TRKZ36D,PC Notebook Laptop of TOPOSH Windows 10 Computer 11.6 Inch 8GB RAM+128GB SSD Celeron J3455 Quad Core 1.5GHz Processor Graphics with US Keyboard WIFI Bluetooth-White,219,TOPOSH Store,30,3.2,22 Jan. 2021
B09HBS83GJ,Dell Latitude 3000 3190 11.6 Netbook - HD - 1366 x 768 - Intel Celeron N4120 Quad-core (4 Core) - 4 GB RAM - 128 GB SSD - Black,179.99,Edge Computers Limited,0,0,28 Sept. 2021
B097R44ZWF,"MSI Katana GF66 Gaming laptop (11UK-081UK/082UK) - 15.6 Inch FHD 144 Hz, i7-11800H, 16 GB, 512 GB SSD, NVIDIA GeForce RTX 3060, Free upgrade to Windows 11 - Black",694.41,Amazon Warehouse,55,4.1,23 Jun. 2021
B09RND1B31,HP EliteBook 840 G5 (14 inch) Notebook PC Core i7 (8650U) 1.9GHz 16GB 512GB (SSD) WLAN BT Webcam W10 Pro (UHD Graphics 620) (Renewed),478.99,Nanosoft Corporation Ltd,4,1.7,1 Feb. 2022
B0BQ7FMY1D,Lenovo IdeaPad 1i 14IGL7 14 Laptop Full HD Intel Pentium Silver N5030 4GB RAM 128GB SSD Abyss Blue Windows 11 S - 82V60009UK,219.95,Studio Direct,0,0,15 Dec. 2022
B09X64WLBD,"ASUS Vivobook 15 E510MA 15.6 Full HD Laptop (Intel Celeron N4020, 4GB RAM, 128GB eMMC, Windows 11 with Microsoft Office 365 included)",219.99,Amazon,56,4.4,4-Apr-22
B09Q2RSFL2,"ASUS Zenbook Flip 14 OLED UN5401QA 14.0 90Hz 2.8K Touchscreen OLED Laptop (AMD Ryzen 7-5800H, 16GB RAM, 512GB SSD, 90Hz 550nits Touchscreen, Windows 11) Includes Stylus Pen & Sleeve",980.85,Amazon,8,4.5,10 Jan. 2022
B09M8K4RYQ,HUAWEI Matebook D15 Windows 11 Intel Core i5 11th Gen Laptop - 8GB RAM and 512GB SSD memory,749.99,Amazon,267,4.5,19 Nov. 2021
B096C3Y1NY,"Medion Akoya E15407 Intel Core i7-1065G7, 8 GB RAM, 512 GB SSD, 15.6 Windows 10 Laptop",649.99,Amazon,18,3.5,1 Jun. 2021
B0BJ2PRTMP,"Dell Inspiron 7425 14 FHD+ 2-in-1 Laptop, AMD Ryzen 7 5825U, 16GB RAM, 512GB SSD, Touchscreen, Backlit Keyboard, Fingerprint Reader, Windows 11 Home (Pebble Green)",829,Amazon,0,0,13 Oct. 2022
B0868T6XNB,Lenovo 14in ThinkPad T450 Ultrabook - HDF+ (1600x900) Core i5-5300U 16GB 128GB SSD WebCam WiFi Bluetooth USB 3.0 Windows 10 Professional 64-bit PC Laptop (Renewed),289,Amazon,41,4.5,1-May-18
B07RF1XD36,"Acer Aspire 5 Slim Laptop, 15.6 Full HD IPS Display, AMD Ryzen 3 3200U, Vega 3 Graphics, 4GB DDR4, 128GB SSD, Backlit Keyboard, Windows 10 in S Mode, A515-43-R19L",6.47,Amazon,34602,4.5,11 Nov. 2019
B09QFWGNHY,"ASUS ZenBook Duo UX482EAR 14-inch Full HD Touchscreen Laptop (Intel Core i5-1155G7, 16GB RAM, 512GB SSD, Windows 11, Includes Stylus Pen) Intel EVO certified",899,Amazon,159,4.3,14 Jan. 2022
B0B7NVP8MJ,"Corsair VOYAGER a1600 Gaming Laptop (AMD Ryzen R7 6800HS, AMD Radeon RX 6800M, 16GB DDR5, 16 2560x1600 240Hz IPS Screen, CHERRY MX Ultra-Low Profile Keyswitches, Windows 11 Home Advanced) Black",1899.99,Amazon,0,0,18 Aug. 2022
B093RNV6SD,Cello 11 inch 128GB Intel Dual Core 8GB RAM TF Card slot Bluetooth Book Laptop Notebook,170.45,Amazon,2,2.4,28-Apr-21
B09W2RB84Q,"MSI Notebook Pulse GL66 Gaming Laptop (12UEK-068UK), Intel Core i7-12700H, 15.6 Inches QHD 165Hz Panel, NVIDIA GeForce RTX 3060, 16GB, 1TB SSD, Windows 11 - Titanium , Titanium Blue",1199,Amazon,2,5,21 Mar. 2022
B0B1VPTYZS,"ACER Chromebook Spin 314 CP314-1H - (Intel Celeron N4500, 4GB, 64GB eMMC, 14 inch HD Touchscreen Display, Google Chrome OS, Silver)",349.99,Amazon,1,1,20-May-22
B08N1F9Z8B,"Razer Book 13 - Ultra Lightweight Productivity Laptop (13.4 Inch Touch FHD-60Hz Display, Intel Core i7-1165G7, 16GB RAM, 256GB SSD, Iris Xe) UK Layout | Mercury",1075,Amazon,48,3.2,9 Nov. 2020
B09F6LM3WX,"ASUS VivoBook 15 X515EA 15.6 Full HD Laptop (Intel i3-1115G4, 8GB RAM, 256GB SSD, Windows 11), Silver",415,MESH Computers,238,4.4,25 Oct. 2021
B09R4XS1JF,"HP Chromebook 11.6 Inch Laptop PC 11a-ne0000sa, MediaTek MT8183, 4 GB RAM, 64 GB eMMC, HD, Ash Gray",218.49,Amazon,20,4.5,25 Jan. 2022
B09W371KGY,Samsung Galaxy Book2 Pro 5G Laptop 15.6 Inch Intel i5 8GB RAM 256GB Storage Graphite,829.37,Amazon,1,4,1-Apr-22
B097DZF2M9,"MSI Creator Z16 16 Inch QHD 120Hz (Intel Core i7-11800H, NVIDIA GeForce RTX 3060 6GB, 16 GB RAM, 512 GB NVMe PCIe Gen4x4 SSD, Killer Wi-Fi 6E, Windows 10 Home), Lunar Gray",1399,Amazon,9,3.3,17 Jun. 2021
B0B15K1CTZ,"Lenovo Flex 3 Chrome 11.6 Inch Touchscreen (Celeron, 4GB RAM, 64GB eMMC, Chrome OS) - Abyss Blue Laptop",269.99,Amazon,18,3.5,12-May-22
B0B4Y935HY,"MSI Raider GE66 Gaming Laptop (12UH-477UK) Deluxe Edition (Headset and Mouse), Intel Core i9-12900HK, 15.6 UHD 120Hz Panel, NVIDIA GeForce RTX 3080, 32GB, 2TB SSD, Windows 11 - Tianuium Blue",3399,Amazon,0,0,23 Jun. 2022
B09GKL6DB7,"ASUS Vivobook OLED 15 M513UA 15.6 Inch Full HD OLED Laptop, Black (AMD Ryzen 7-5700U, 16GB RAM, 512GB SSD, Backlit Keyboard, Windows 11)",849.99,Amazon,90,4.4,17 Sept. 2021
